feature,factor,value,view,sign,feature_id,feature_name
otu26_16S,Factor3,1.22828740749519,16S,+,otu26_16S,Lachnoclostridium
otu54_16S,Factor3,1.17603019759563,16S,+,otu54_16S,unclassified_Lachnospiraceae
otu32,Factor3,1.05912397650665,16S,+,otu32,Flavonifractor
otu91,Factor3,0.948904967646397,16S,+,otu91,[Ruminococcus] gnavus group
otu21,Factor3,0.945045184570225,16S,+,otu21,Erysipelatoclostridium
otu45,Factor3,0.894664429483499,16S,+,otu45,[Clostridium] innocuum group
otu52,Factor3,0.860120362925326,16S,+,otu52,Veillonella
otu863,Factor3,0.769602019514236,16S,-,otu863,NK4A214 group
otu75_16S,Factor3,0.759162940441425,16S,+,otu75_16S,Anaerostipes
otu489,Factor3,0.743825589268964,16S,-,otu489,unidentified
otu230,Factor3,0.710848599110308,16S,+,otu230,Blautia
otu20_16S,Factor3,0.630719928544935,16S,+,otu20_16S,Lachnospiraceae UCG-004
otu1478,Factor3,0.609801847804318,16S,-,otu1478,Family XIII AD3011 group
otu599,Factor3,0.581122728052928,16S,-,otu599,UCG-002
otu135,Factor3,0.576379498569691,16S,+,otu135,Agathobacter
