feature,factor,value,view,sign,feature_id
BAX6_V__456,Factor3,0.921006956049182,virome,-,BAX6_V__456
VC_163_0,Factor3,0.920117446473246,virome,-,VC_163_0
BAC3_V__5269,Factor3,0.894167594020942,virome,+,BAC3_V__5269
BAX1_V__456,Factor3,0.872689672662205,virome,-,BAX1_V__456
G23J_7936V__5674,Factor3,0.826396619125565,virome,-,G23J_7936V__5674
VC_767_0,Factor3,0.80601414358216,virome,-,VC_767_0
G01M_8520_V__5417,Factor3,0.787613286188526,virome,-,G01M_8520_V__5417
G01M_8396_V__433,Factor3,0.787476637613563,virome,-,G01M_8396_V__433
G01M_8528_V__367,Factor3,0.775434080721168,virome,-,G01M_8528_V__367
VC_62_0,Factor3,0.722621698437914,virome,+,VC_62_0
VC_64_0,Factor3,0.68783106951846,virome,+,VC_64_0
VC_27_1,Factor3,0.678691507819489,virome,+,VC_27_1
G23J_8062V__5887,Factor3,0.668246992545137,virome,+,G23J_8062V__5887
VC_478_1,Factor3,0.642477712756623,virome,-,VC_478_1
BAY1_V__645,Factor3,0.628204654647022,virome,+,BAY1_V__645
